Sorted by Name
Breed,MaxWeight(kg)
Affenpinscher,5
Afghan Hound,27
Airedale Terrier,23
Akita,60
Alaskan Klee Kai,7
Alaskan Malamute,39
American Bulldog,50
American English Coonhound,30
American Eskimo Dog,20
American Foxhound,34
American Hairless Terrier,7
American Leopard Hound,40
American Staffordshire Terrier,40
American Water Spaniel,20
Anatolian Shepherd Dog,70
Appenzeller Sennenhund,45
Australian Cattle Dog,20
Australian Kelpie,20
Australian Shepherd,30
Australian Stumpy Tail Cattle Dog,20
Australian Terrier,6
Azawakh,30
Barbado da Terceira,20
Barbet,30
Basenji,10
Basset Fauve de Bretagne,25
Basset Hound,29
Bavarian Mountain Scent Houn,30
Beagle,11
Bearded Collie,25
Beauceron,30
Bedlington Terrier,9
Belgian Laekenois,30
Belgian Malinois,30
Belgian Sheepdog,30
Belgian Tervuren,25
Bergamasco Sheepdog,45
Berger Picard,25
Bernese Mountain Dog,70
Bichon Frise,5
Biewer Terrier,3
Black and Tan Coonhound,30
Black Russian Terrier,60
Bloodhound,54
Bluetick Coonhound,30
Boerboel,80
Bohemian Shepherd,30
Bolognese,7
Border Collie,30
Border Terrier,8
Borzoi,45
Boston Terrier,11
Bouvier des Flandres,40
Boxer,32
Boykin Spaniel,16
Bracco Italiano,30
Braque du Bourbonnais,30
Braque Francais Pyrenean,30
Briard,40
Brittany,25
Broholmer,30
Brussels Griffon,4
Bull Terrier,22
Bulldog,25
Bullmastiff,59
Cairn Terrier,6
Canaan Dog,20
Cane Corso,50
Cardigan Welsh Corgi,15
Carolina Dog,14
Catahoula Leopard Dog,32
Caucasian Shepherd Dog,90
Cavalier King Charles Spaniel,8
Central Asian Shepherd Dog,90
Cesky Terrier,8
Chesapeake Bay Retriever,36
Chihuahua,3
Chinese Crested,5
Chinese Shar-Pei,25
Chinook,29
Chow Chow,32
Cirneco dell'Etna,14
Clumber Spaniel,32
Cocker Spaniel,15
Collie,30
Coton de Tulear,6
Croatian Sheepdog,22
Curly-Coated Retriever,34
Czechoslovakian Vlcak,30
Dachshund,9
Dalmatian,32
Dandie Dinmont Terrier,11
Danish-Swedish Farmdog,15
Deutscher Wachtelhund,20
Doberman Pinscher,40
Dogo Argentino,45
Dogue de Bordeaux,70
Drentsche Patrijshond,22
Drever,15
Dutch Shepherd,40
English Cocker Spaniel,16
English Foxhound,29
English Setter,30
English Springer Spaniel,17
English Toy Spaniel,5
Entlebucher Mountain Dog,30
Estrela Mountain Dog,60
Eurasier,30
Field Spaniel,18
Finnish Lapphund,20
Finnish Spitz,16
Flat-Coated Retriever,34
French Bulldog,14
French Spaniel,30
German Longhaired Pointer,32
German Pinscher,15
German Shepherd Dog,40
German Shorthaired Pointer,30
German Spitz,7
German Wirehaired Pointer,32
Giant Schnauzer,70
Glen of Imaal Terrier,16
Golden Retriever,34
Gordon Setter,32
Grand Basset Griffon Vendéen,30
Great Dane,54
Great Pyrenees,45
Greater Swiss Mountain Dog,70
Greyhound,40
Hamiltonstovare,25
Hanoverian Scenthound,25
Harrier,25
Havanese,5
Hokkaido,30
Hovawart,45
Ibizan Hound,25
Icelandic Sheepdog,20
Irish Red and White Setter,32
Irish Setter,32
Irish Terrier,9
Irish Water Spaniel,32
Irish Wolfhound,90
Italian Greyhound,5
Jagdterrier,10
Japanese Akitainu,50
Japanese Chin,4
Japanese Spitz,7
Japanese Terrier,4
Jindo,15
Kai Ken,20
Karelian Bear Dog,30
Keeshond,18
Kerry Blue Terrier,17
Kishu Ken,30
Komondor,70
Kromfohrlander,6
Kuvasz,50
Labrador Retriever,32
Lagotto Romagnolo,20
Lakeland Terrier,9
Lancashire Heeler,11
Lapponian Herder,20
Leonberger,80
Lhasa Apso,30
Löwchen,7
Maltese,4
